region_code,region_name,total_population,male_population,female_population,region_type,bundesland
01,Schleswig-Holstein,2953270,1443269,1510001,bundesland,Schleswig-Holstein
01001,Flensburg,92550,45874,46676,kreis,Schleswig-Holstein
01002,Kiel,247717,120149,127568,kreis,Schleswig-Holstein
01003,Lübeck,218095,104723,113372,kreis,Schleswig-Holstein
01004,Neumünster,79502,39256,40246,kreis,Schleswig-Holstein
01051,Dithmarschen,135252,66561,68691,kreis,Schleswig-Holstein
01053,HerzogtumLauenburg,203712,99689,104023,kreis,Schleswig-Holstein
01054,Nordfriesland,169043,82669,86374,kreis,Schleswig-Holstein
01055,Ostholstein,203606,97822,105784,kreis,Schleswig-Holstein
01056,Pinneberg,322130,157663,164467,kreis,Schleswig-Holstein
01057,Plön,131266,63357,67909,kreis,Schleswig-Holstein
01058,Rendsburg-Eckernförde,278979,137154,141825,kreis,Schleswig-Holstein
01059,Schleswig-Flensburg,206038,101614,104424,kreis,Schleswig-Holstein
01060,Segeberg,284988,140654,144334,kreis,Schleswig-Holstein
01061,Steinburg,132419,65268,67151,kreis,Schleswig-Holstein
01062,Stormarn,247973,120816,127157,kreis,Schleswig-Holstein
02,Hamburg,1892122,925616,966506,bundesland,Hamburg
03,Niedersachsen,8140242,4009822,4130420,bundesland,Niedersachsen
031,Braunschweig,1610865,796058,814807,statistischeregion,Niedersachsen
03101,Braunschweig,251804,124770,127034,kreis,Niedersachsen
03102,Salzgitter,104548,51829,52719,kreis,Niedersachsen
03103,Wolfsburg,125961,62441,63520,kreis,Niedersachsen
03151,Gifhorn,180232,89675,90557,kreis,Niedersachsen
03153,Goslar,134672,66690,67982,kreis,Niedersachsen
03154,Helmstedt,92470,45648,46822,kreis,Niedersachsen
03155,Northeim,133258,65576,67682,kreis,Niedersachsen
03157,Peine,138931,68750,70181,kreis,Niedersachsen
03158,Wolfenbüttel,120531,59652,60879,kreis,Niedersachsen
03159,Göttingen,328458,161027,167431,kreis,Niedersachsen
032,Hannover,2180058,1067013,1113045,statistischeregion,Niedersachsen
03241,RegionHannover,1173891,573513,600378,kreis,Niedersachsen
03241001,Hannover,545045,266093,278952,landeshauptstadt,Niedersachsen
03251,Diepholz,222816,110415,112401,kreis,Niedersachsen
03252,Hameln-Pyrmont,150640,72781,77859,kreis,Niedersachsen
03254,Hildesheim,278371,135757,142614,kreis,Niedersachsen
03255,Holzminden,70911,35112,35799,kreis,Niedersachsen
03256,Nienburg(Weser),123469,61060,62409,kreis,Niedersachsen
03257,Schaumburg,159960,78375,81585,kreis,Niedersachsen
033,Lüneburg,1757157,864122,893035,statistischeregion,Niedersachsen
03351,Celle,181994,89138,92856,kreis,Niedersachsen
03352,Cuxhaven,201413,98150,103263,kreis,Niedersachsen
03353,Harburg,261890,128854,133036,kreis,Niedersachsen
03354,Lüchow-Dannenberg,49178,23981,25197,kreis,Niedersachsen
03355,Lüneburg,187552,91180,96372,kreis,Niedersachsen
03356,Osterholz,116551,56813,59738,kreis,Niedersachsen
03357,Rotenburg(Wümme),167604,83960,83644,kreis,Niedersachsen
03358,Heidekreis,145394,72697,72697,kreis,Niedersachsen
03359,Stade,210306,104302,106004,kreis,Niedersachsen
03360,Uelzen,94362,45906,48456,kreis,Niedersachsen
03361,Verden,140913,69141,71772,kreis,Niedersachsen
034,Weser-Ems,2592162,1282629,1309533,statistischeregion,Niedersachsen
03401,Delmenhorst,78385,38557,39828,kreis,Niedersachsen
03402,Emden,50535,25071,25464,kreis,Niedersachsen
03403,Oldenburg(Oldenburg),172830,82742,90088,kreis,Niedersachsen
03404,Osnabrück,167366,80755,86611,kreis,Niedersachsen
03405,Wilhelmshaven,76089,37268,38821,kreis,Niedersachsen
03451,Ammerland,128253,62498,65755,kreis,Niedersachsen
03452,Aurich,192072,94234,97838,kreis,Niedersachsen
03453,Cloppenburg,177701,89720,87981,kreis,Niedersachsen
03454,Emsland,338052,171160,166892,kreis,Niedersachsen
03455,Friesland,100277,48749,51528,kreis,Niedersachsen
03456,GrafschaftBentheim,141269,70508,70761,kreis,Niedersachsen
03457,Leer,174348,86640,87708,kreis,Niedersachsen
03458,Oldenburg,133913,66240,67673,kreis,Niedersachsen
03459,Osnabrück,366221,181603,184618,kreis,Niedersachsen
03460,Vechta,146924,73728,73196,kreis,Niedersachsen
03461,Wesermarsch,89568,44652,44916,kreis,Niedersachsen
03462,Wittmund,58359,28504,29855,kreis,Niedersachsen
04,Bremen,684864,338233,346631,bundesland,Bremen
04011,Bremen,569396,280842,288554,kreis,Bremen
04012,Bremerhaven,115468,57391,58077,kreis,Bremen
05,Nordrhein-Westfalen,18139116,8890200,9248916,bundesland,Nordrhein-Westfalen
051,Düsseldorf,5261157,2565963,2695194,regierungsbezirk,Nordrhein-Westfalen
05111,Düsseldorf,629047,303510,325537,kreis,Nordrhein-Westfalen
05112,Duisburg,502211,247892,254319,kreis,Nordrhein-Westfalen
05113,Essen,584580,284152,300428,kreis,Nordrhein-Westfalen
05114,Krefeld,228426,111189,117237,kreis,Nordrhein-Westfalen
05116,Mönchengladbach,268465,132961,135504,kreis,Nordrhein-Westfalen
05117,MülheimanderRuhr,172404,83069,89335,kreis,Nordrhein-Westfalen
05119,Oberhausen,210824,102910,107914,kreis,Nordrhein-Westfalen
05120,Remscheid,112613,55709,56904,kreis,Nordrhein-Westfalen
05122,Solingen,160643,78038,82605,kreis,Nordrhein-Westfalen
05124,Wuppertal,358876,175788,183088,kreis,Nordrhein-Westfalen
05154,Kleve,319290,158966,160324,kreis,Nordrhein-Westfalen
05158,Mettmann,489794,236563,253231,kreis,Nordrhein-Westfalen
05162,Rhein-KreisNeuss,457264,221712,235552,kreis,Nordrhein-Westfalen
05166,Viersen,300882,146635,154247,kreis,Nordrhein-Westfalen
05170,Wesel,465838,226869,238969,kreis,Nordrhein-Westfalen
053,Köln,4527594,2216694,2310900,regierungsbezirk,Nordrhein-Westfalen
05314,Bonn,336465,160769,175696,kreis,Nordrhein-Westfalen
05315,Köln,1084831,526588,558243,kreis,Nordrhein-Westfalen
05316,Leverkusen,165748,80681,85067,kreis,Nordrhein-Westfalen
05334,StädteregionAachen,562559,283670,278889,kreis,Nordrhein-Westfalen
05334002,Aachen,252136,131493,120643,kreis,Nordrhein-Westfalen
05358,Düren,270833,134058,136775,kreis,Nordrhein-Westfalen
05362,Rhein-Erft-Kreis,478126,232974,245152,kreis,Nordrhein-Westfalen
05366,Euskirchen,197247,97449,99798,kreis,Nordrhein-Westfalen
05370,Heinsberg,261833,129489,132344,kreis,Nordrhein-Westfalen
05374,OberbergischerKreis,275404,135188,140216,kreis,Nordrhein-Westfalen
05378,Rheinisch-BergischerKreis,286213,138313,147900,kreis,Nordrhein-Westfalen
05382,Rhein-Sieg-Kreis,608335,297515,310820,kreis,Nordrhein-Westfalen
055,Münster,2664280,1309671,1354609,regierungsbezirk,Nordrhein-Westfalen
